 ==  = 
|    Run | Delivered LS |     Delivered |          Selected LS |      Recorded |
--------------------------------------------------------------------------------
| 160431 |          231 |   7.650 (/nb) |             [19-218] |   6.658 (/nb) |
| 160577 |          330 |  10.980 (/nb) |            [254-306] |   1.625 (/nb) |
| 160578 |          457 |  13.630 (/nb) |    [6-53], [274-400] |   4.935 (/nb) |
| 160871 |          185 | 141.422 (/nb) |             [68-208] | 105.082 (/nb) |
| 160872 |           76 |  55.926 (/nb) |      [1-9], [25-35], |  23.707 (/nb) |
|        |              |               |              [38-55] |               |
| 160873 |          200 | 139.887 (/nb) |              [1-147] | 101.940 (/nb) |
| 160874 |          131 |  86.355 (/nb) |     [1-51], [97-113] |  42.157 (/nb) |
| 160939 |          147 | 182.878 (/nb) |              [1-123] | 150.097 (/nb) |
| 160940 |           88 | 105.491 (/nb) |               [2-79] |  91.080 (/nb) |
| 160942 |           25 |  29.386 (/nb) |               [1-12] |  12.244 (/nb) |
| 160943 |           68 |  78.037 (/nb) |               [2-54] |  59.165 (/nb) |
| 160955 |          227 | 783.602 (/nb) |  [1-130], [133-138], | 416.350 (/nb) |
|        |              |               |           [140-151], |               |
|        |              |               |           [153-154], |               |
|        |              |               |           [156-172], |               |
|        |              |               | [175-201], [204-206] |               |
| 160956 |           72 | 233.620 (/nb) |               [2-65] | 199.579 (/nb) |
| 160957 |          966 |   2.648 (/pb) |              [2-953] |   2.516 (/pb) |
| 160998 |          284 | 782.111 (/nb) |              [2-252] | 681.920 (/nb) |
| 161008 |          282 | 707.048 (/nb) |        [2-2], [5-77] | 188.705 (/nb) |
| 161016 |          326 | 743.905 (/nb) |              [2-300] | 673.241 (/nb) |
| 162762 |          110 | 415.497 (/nb) |              [1-102] | 378.605 (/nb) |
| 162765 |           22 |  81.598 (/nb) |               [2-23] |  77.518 (/nb) |
| 162803 |           94 | 500.409 (/nb) |  [60-124], [135-139] | 372.262 (/nb) |
| 162808 |           62 | 332.913 (/nb) |               [1-51] | 264.983 (/nb) |
| 162811 |          346 |   1.688 (/pb) |              [1-340] |   1.661 (/pb) |
| 162822 |          246 |   1.288 (/pb) |             [73-307] |   1.215 (/pb) |
| 162825 |          201 | 971.660 (/nb) |              [1-184] | 873.777 (/nb) |
| 162826 |           42 | 196.197 (/nb) |               [1-24] | 104.598 (/nb) |
| 162828 |           83 | 359.488 (/nb) |               [2-84] | 355.659 (/nb) |
| 162909 |          249 |   1.858 (/pb) |             [54-290] |   1.799 (/pb) |
| 163046 |          247 |   1.631 (/pb) |   [1-133], [135-238] |   1.600 (/pb) |
| 163069 |          583 |   4.218 (/pb) |  [73-452], [468-633] |   3.917 (/pb) |
| 163071 |          193 |   1.259 (/pb) |              [1-161] |   1.039 (/pb) |
| 163078 |           36 | 223.911 (/nb) |               [2-23] | 135.416 (/nb) |
| 163232 |           76 | 515.617 (/nb) |           [128-128], | 266.749 (/nb) |
|        |              |               |           [130-134], |               |
|        |              |               |           [129-129], |               |
|        |              |               |           [136-149], |               |
|        |              |               | [135-135], [110-127] |               |
| 163233 |          301 |   1.947 (/pb) |              [1-283] |   1.809 (/pb) |
| 163234 |           73 | 445.861 (/nb) |               [1-66] | 392.237 (/nb) |
| 163235 |          473 |   2.693 (/pb) |              [1-461] |   2.599 (/pb) |
| 163237 |          219 |   1.138 (/pb) |              [1-213] |   1.093 (/pb) |
| 163238 |           13 |  56.909 (/nb) |               [9-14] |  21.193 (/nb) |
| 163252 |          101 | 912.278 (/nb) |             [60-137] | 679.580 (/nb) |
| 163255 |         1066 |   8.001 (/pb) |  [1-359], [412-844], |   6.893 (/pb) |
|        |              |               | [846-846], [848-977] |               |
| 163261 |          138 | 903.817 (/nb) |      [2-3], [10-126] | 772.732 (/nb) |
| 163270 |          926 |   8.264 (/pb) |     [2-76], [79-96], |   8.010 (/pb) |
|        |              |               | [99-475], [479-527], |               |
|        |              |               | [529-685], [695-927] |               |
| 163286 |          306 |   2.011 (/pb) |            [112-401] |   1.891 (/pb) |
| 163289 |          386 |   2.256 (/pb) |              [2-387] |   2.214 (/pb) |
| 163296 |          562 |   5.535 (/pb) |  [59-230], [232-585] |   5.117 (/pb) |
| 163297 |          226 |   2.002 (/pb) |              [1-219] |   1.911 (/pb) |
| 163300 |          622 |   4.982 (/pb) |              [1-616] |   4.887 (/pb) |
| 163301 |          197 |   1.447 (/pb) |              [1-192] |   1.392 (/pb) |
| 163302 |          252 |   1.780 (/pb) |              [1-190] |   1.333 (/pb) |
| 163332 |          775 |   8.078 (/pb) | [43-118], [224-264], |   6.556 (/pb) |
|        |              |               |           [266-599], |               |
|        |              |               | [601-639], [641-801] |               |
| 163333 |          111 |   1.045 (/pb) |              [2-106] | 974.031 (/nb) |
| 163334 |          562 |   4.942 (/pb) |     [1-35], [37-37], |   3.777 (/pb) |
|        |              |               |            [156-556] |               |
| 163337 |          474 |   3.811 (/pb) |    [2-18], [27-201], |   3.533 (/pb) |
|        |              |               | [203-426], [434-461] |               |
| 163338 |          170 |   1.292 (/pb) |              [1-164] |   1.228 (/pb) |
| 163339 |          187 |   1.380 (/pb) |              [1-172] |   1.255 (/pb) |
| 163340 |          486 |   3.342 (/pb) |              [2-487] |   3.319 (/pb) |
| 163358 |           28 | 255.073 (/nb) |              [39-62] | 211.228 (/nb) |
